test1,135,60,10
1,1,2,10000
1,1,2,10777.78
1,1,2,11111.11
1,1,2,11777.78
1,1,2,12666.67
1,1,2,13666.67
1,1,2,14333.33
1,1,2,15000
1,1,2,15777.78
1,1,2,16222.22
1,1,2,16666.67
1,2,2,10444.44
1,2,2,10777.78
1,2,2,11333.33
1,2,2,11444.44
1,2,2,11777.78
1,2,2,12777.78
1,2,2,13555.56
1,2,2,13777.78
1,2,2,14222.22
1,2,2,14444.44
1,2,2,14888.89
1,2,2,15111.11
1,2,2,16000
1,2,2,16444.44
1,3,2,10111.11
1,3,2,10777.78
1,3,2,11222.22
1,3,2,11666.67
1,3,2,13000
1,3,2,13333.33
1,3,2,13888.89
1,3,2,14111.11
1,3,2,14555.56
1,3,2,14777.78
1,3,2,15222.22
1,3,2,16000
1,3,2,16666.67
1,4,2,10888.89
1,4,2,11222.22
1,4,2,11777.78
1,4,2,13222.22
1,4,2,14000
1,4,2,14666.67
1,4,2,15333.33
1,4,2,15777.78
1,4,2,16222.22
1,4,2,16444.44
