sample1,144,26,1
1,1,15,1000
1,2,15,1416.67
1,1,15,1833.33
1,3,15,2250
1,1,15,2666.67
1,1,15,3083.33
1,4,15,3291.67
1,1,15,3500
1,1,15,3916.67
1,2,15,4333.33
1,2,15,4750
1,1,15,5166.67
1,1,15,5583.33
1,3,15,6000
1,3,15,6416.67
1,1,15,6833.33
1,1,15,7250
1,1,15,7666.67
1,4,15,8083.33
1,2,15,8500
1,3,15,8916.67
1,1,15,9333.33
1,1,15,9750
1,2,15,9958.33
1,1,15,10166.67
1,2,15,10583.33
1,3,15,11000
1,4,15,11416.67
1,1,15,11833.33
1,2,15,12250
1,1,15,12666.67
1,4,15,12875
1,3,15,13708.33
1,2,15,14125
1,1,15,14541.67
1,1,15,14958.33
1,1,15,15375
1,1,15,15791.67
1,2,15,16208.33
1,2,15,16416.67
1,3,15,16625
1,3,15,17041.67
1,1,15,17458.33
1,1,15,17875
1,1,15,18291.67
1,4,15,18708.33
1,3,15,19125
1,3,15,19541.67
1,4,15,19958.33
1,1,15,20375
1,1,15,20791.67
1,2,15,21208.33
1,1,15,21625
1,2,15,22041.67
1,1,15,22458.33
1,1,15,22875
1,1,15,23083.33
1,3,15,23291.67
1,3,15,23708.33
1,1,15,24125
1,1,15,24541.67
1,2,15,24958.33
1,2,15,25375
1,1,15,25791.67
1,1,15,26208.33
1,2,15,26625
